STO DATABASE;BRANCH DATABASE;REGION SAP;AREA DATABASE;INCIDENT;TTR CUSTOMER;SUMMARY;REPORTED DATE;OWNER GROUP;OWNER;CUSTOMER SEGMENT;SERVICE TYPE;WITEL;WORKZONE;STATUS;STATUS DATE;TICKET ID GAMAS;REPORTED BY;CONTACT PHONE;CONTACT NAME;CONTACT EMAIL;BOOKING DATE;DESCRIPTION ASSIGMENT;REPORTED PRIORITY;SOURCE TICKET;SUBSIDIARY;EXTERNAL TICKET ID;CHANNEL;CUSTOMER TYPE;CLOSED BY;CLOSED / REOPEN by;CUSTOMER ID;CUSTOMER NAME;SERVICE ID;SERVICE NO;SLG;TECHNOLOGY;LAPUL;GAUL;ONU RX;PENDING REASON;DATEMODIFIED;INCIDENT DOMAIN;REGION;SYMPTOM;HIERARCHY PATH;SOLUTION;DESCRIPTION ACTUAL SOLUTION;KODE PRODUK;PERANGKAT;TECHNICIAN;DEVICE NAME;WORKLOG SUMMARY;LAST UPDATE WORKLOG;CLASSIFICATION FLAG;REALM;RELATED TO GAMAS;TSC RESULT;SCC RESULT;TTR AGENT;TTR MITRA;TTR NASIONAL;TTR PENDING;TTR REGION;TTR WITEL;TTR END TO END;NOTE;GUARANTE STATUS;RESOLVE DATE;SN ONT;TIPE ONT;MANUFACTURE ONT;IMPACTED SITE;CAUSE;RESOLUTION;NOTES ESKALASI;RK INFORMATION;EXTERNAL TICKET TIER 3;CUSTOMER CATEGORY;CLASSIFICATION PATH;TERITORY NEAR END;TERITORY FAR END;URGENCY;URGENCY DESCRIPTION
KFR;BANDA ACEH;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Site OA Non Billing : 0;;;;;;;;;;;
KTN;BANDA ACEH;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LBR;BANDA ACEH;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non Berbilling : 0;;;;;;;;;;;
LNO;BANDA ACEH;SUMBAGUT;AREA 1;INC47697891;00.34.18;TSEL_METRO_2NODEB_UNDER_GPON18-D4-MJP-3_MINOR_DOWN_REGTSEL5;31/03/26 18.58;TIF ASR NON FBB DISTRICT SEMARANG;;DWS;SITE;SEMARANG;MJP;BACKEND;31/03/26 19.23;;INAP_TSEL;62811100007;Shift Manger;Shift_Manger@mail.com;;Assigned By STO;;CUSTOMER;;IM-20260331-00003122;56;;;;C3700008;TELEKOMUNIKASI SELULAR;DMK716;DMK716;;;;0;;;31/03/26 19.33;;REG-4;null | TECHNICAL | Mati Total Fisik;;Fo Akses Cut;;;;26030002;;INC47697891 | [Medium] Multiple Site Down@TO SEMARANGImpact: 2 Site(s) / 9 NE-BAND(s) (9);2026-03-31 19:06:43.522;TECHNICAL;;NO;N/A | N/A;;00.00.00;00.00.00;00.16.11;00.00.00;00.00.00;00.00.00;00.34.18;;;;;;;Jumlah Site:2;;;;;;;C_CONN_TSEL_001_001_001;;;3;Medium
LOA;BANDA ACEH;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2G:2NE;;;;;;;;;;;
LTM;BANDA ACEH;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3G:2NE;;;;;;;;;;;
MBO;BANDA ACEH;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4G:2NE;;;;;;;;;;;
MGD;BANDA ACEH;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Detail Site:;;;;;;;;;;;
MRU;BANDA ACEH;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[DMK026,DMK716];;;;;;;;;;;
SAB;BANDA ACEH;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SGI;BANDA ACEH;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KET :;;;;;;;;;;;
SKL;BANDA ACEH;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Site Berbilling : 2;;;;;;;;;;;
SLG;BANDA ACEH;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DMK026,DMK716;;;;;;;;;;;
SMM;BANDA ACEH;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Site OA Non Billing : 0;;;;;;;;;;;
SNA;BANDA ACEH;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUS;BANDA ACEH;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non Berbilling : 0;;;;;;;;;;;
TKN;BANDA ACEH;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TSE;BANDA ACEH;SUMBAGUT;AREA 1;INC47697813;00.41.22;TSEL_RADIOIP_NNK231_B2BNBS_SITE_GUNUNG_LANGSAT_UNDER_L2SWITCH_NNK013_SEBUKULOW_DOWN_REGTSEL8;31/03/26 18.51;TIF ASR NON FBB DISTRICT TARAKAN;;DWS;SITE;KALTARA;NNK;BACKEND;31/03/26 19.16;;INAP_TSEL;62811100007;Shift Manger;Shift_Manger@mail.com;;Assigned By STO;;CUSTOMER;;IM-20260331-00002632;56;;;;C3700008;TELEKOMUNIKASI SELULAR;NNK231;NNK231;;;;7;;;31/03/26 19.33;;REG-6;null | TECHNICAL | Mati Total Fisik;;FO Degradasi;;;;16995123;;INC47697813 | [Hard] Multiple Site Down@TO KALTARA - Major;2026-03-31 19:01:26.032;TECHNICAL;;NO;N/A | N/A;;00.00.00;00.00.00;00.10.59;00.00.00;00.00.00;00.00.00;00.41.22;;;;;;;Jumlah Site:1;;;;;;;C_CONN_TSEL_001_001_001;;;4;Hard
TTN;BANDA ACEH;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2G:1NE;;;;;;;;;;;
BJI;BINJAI;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3G:1NE;;;;;;;;;;;
GEU;BINJAI;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4G:1NE;;;;;;;;;;;
IDI;BINJAI;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Detail Site:;;;;;;;;;;;
KGH;BINJAI;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[NNK231];;;;;;;;;;;
KSG;BINJAI;SUMBAGUT;AREA 1;INC47697782;00.42.47;TSEL_METRO_PCN032_KALAK_GPON01-D5-PNG-3KLK_LOW_DOWN_REGTSEL6;31/03/26 18.50;TIF ASR NON FBB DISTRICT MADIUN;18880007;DWS;SITE;MADIUN;PNG;BACKEND;31/03/26 18.58;;INAP_TSEL;62811100007;Shift Manger;Shift_Manger@mail.com;;;;CUSTOMER;;IM-20260331-00003022;56;;;;C3700008;TELEKOMUNIKASI SELULAR;PCN032;PCN032;;;1;1;;;31/03/26 19.33;;REG-5;| TECHNICAL | Mati Total Fisik;;Fo Akses Cut;;;;18880070;;Team masih Perjalanan Est 1 Jam;2026-03-31 19:00:31.161;TECHNICAL;;NO;N/A | N/A;;00.00.00;00.00.00;00.02.01;00.00.00;00.00.00;00.00.00;00.42.47;;;;;;;Jumlah Site:1;;;;;;;C_CONN_TSEL_001_001_001;;;5;Emergency
KUL;BINJAI;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2G:1NE;;;;;;;;;;;
LGS;BINJAI;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3G:1NE;;;;;;;;;;;
LSK;BINJAI;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4G:1NE;;;;;;;;;;;
LSM;BINJAI;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Detail Site:;;;;;;;;;;;
MKL;BINJAI;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[PCN032];;;;;;;;;;;
PBD;BINJAI;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PGL;BINJAI;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KET :;;;;;;;;;;;
PRL;BINJAI;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Site Berbilling : 1;;;;;;;;;;;
PTL;BINJAI;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PCN032;;;;;;;;;;;
SPU;BINJAI;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Site OA Non Billing : 0;;;;;;;;;;;
STB;BINJAI;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TJP;BINJAI;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non Berbilling : 0;;;;;;;;;;;
BDB;MEDAN;SUMBAGUT;AREA 1;INC47697758;00.45.32;TSEL_METRO_MSJ047_SIAUA_ME-D1-KIJO_LOW_DOWN_REGTSEL10;31/03/26 18.47;TIF ASR NON FBB DISTRICT BATAM;;DWS;SITE;RIKEP;KIJ;BACKEND;31/03/26 19.03;;INAP_TSEL;62811100007;Shift Manger;Shift_Manger@mail.com;;;;CUSTOMER;;IM-20260331-00003079;56;;;;C3700008;TELEKOMUNIKASI SELULAR;MSJ047;MSJ047;;;;0;;;31/03/26 19.33;;REG-1;null | TECHNICAL | Mati Total Fisik;;Fo Akses Cut;;;;;;dn;2026-03-31 19:00:44.707;TECHNICAL;;NO;N/A | N/A;;00.00.00;00.00.00;00.02.58;00.00.00;00.00.00;00.00.00;00.45.32;;;;;;;Jumlah Site:1;;;;;;;C_CONN_TSEL_001_001_001;;;2;Normal
BLW;MEDAN;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2G:1NE;;;;;;;;;;;
CTD;MEDAN;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3G:1NE;;;;;;;;;;;
DLT;MEDAN;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4G:1NE;;;;;;;;;;;
GLG;MEDAN;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Detail Site:;;;;;;;;;;;
KIB;MEDAN;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[MSJ047];;;;;;;;;;;
LBP;MEDAN;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCA;MEDAN;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KET :;;;;;;;;;;;
MCB;MEDAN;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Site Berbilling : 1;;;;;;;;;;;
MCC;MEDAN;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;MSJ047;;;;;;;;;;;
MCD;MEDAN;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Site OA Non Billing : 0;;;;;;;;;;;
MCE;MEDAN;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCF;MEDAN;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non Berbilling : 0;;;;;;;;;;;
MCG;MEDAN;SUMBAGUT;AREA 1;INC47697720;00.47.26;TSEL_METRO_SAK017_DMT_PELING_TENGAH_SW-D7-TSEL-SAK027_LOW_DOWN_REGTSEL9;31/03/26 18.45;TIF ASR NON FBB DISTRICT PALU;;DWS;SITE;SULTENG;BGI;BACKEND;31/03/26 19.20;;INAP_TSEL;62811100007;Shift Manger;Shift_Manger@mail.com;;Assigned By STO;;CUSTOMER;;IM-20260331-00003063;56;;;;C3700008;TELEKOMUNIKASI SELULAR;SAK017;SAK017;;;;2;;;31/03/26 19.33;;REG-7;| TECHNICAL | Mati Total Fisik;;Fo Akses Cut;;;;25790042;;sw tdk bisa di remote;2026-03-31 19:09:02.031;TECHNICAL;;NO;N/A | N/A;;00.00.00;00.00.00;00.11.57;00.00.00;00.00.00;00.00.00;00.47.26;;;;;;;Jumlah Site:1;;;;;;;C_CONN_TSEL_001_001_001;;;2;Normal
MDC;MEDAN;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2G:1NE;;;;;;;;;;;
PDB;MEDAN;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3G:1NE;;;;;;;;;;;
PRT;MEDAN;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4G:1NE;;;;;;;;;;;
PTC;MEDAN;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Detail Site:;;;;;;;;;;;
PUB;MEDAN;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[SAK017];;;;;;;;;;;
SKI;MEDAN;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SPM;MEDAN;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KET :;;;;;;;;;;;
TJM;MEDAN;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Site Berbilling : 1;;;;;;;;;;;
TJR;MEDAN;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAK017 BILLING Metro-E;;;;;;;;;;;
TMU;MEDAN;SUMBAGUT;AREA 1;INC47697692;00.49.53;TSEL_METRO_COD190_CIBATU_GARUT_2_GPON03-D3-CBT-2BDK_LOW_DOWN_REGTSEL4;31/03/26 18.43;TIF ASR NON FBB DISTRICT TASIKMALAYA;;DWS;SITE;TASIKMALAYA;CBT;BACKEND;31/03/26 18.52;;INAP_TSEL;62811100007;Shift Manger;Shift_Manger@mail.com;;Assigned By STO;;CUSTOMER;;IM-20260331-00002993;56;;;;C3700008;TELEKOMUNIKASI SELULAR;COD190;COD190;;;;1;;;31/03/26 19.33;;REG-3;null | TECHNICAL | Mati Total Fisik;;Fo Akses Cut;;;;16995338;;dn;2026-03-31 18:46:05.587;TECHNICAL;;NO;N/A | N/A;;00.00.00;00.00.00;00.05.54;00.00.00;00.00.00;00.00.00;00.49.53;;;;;;;Jumlah Site:1;;;;;;;C_CONN_TSEL_001_001_001;;;2;Normal
TTG;MEDAN;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2G:1NE;;;;;;;;;;;
BGO;PADANG SIDEMPUAN;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3G:1NE;;;;;;;;;;;
BJE;PADANG SIDEMPUAN;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4G:1NE;;;;;;;;;;;
GST;PADANG SIDEMPUAN;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Detail Site:;;;;;;;;;;;
KON;PADANG SIDEMPUAN;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[COD190];;;;;;;;;;;
PND;PADANG SIDEMPUAN;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PSP;PADANG SIDEMPUAN;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KET :;;;;;;;;;;;
PYB;PADANG SIDEMPUAN;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Site Berbilling : 1;;;;;;;;;;;
SBG;PADANG SIDEMPUAN;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;COD190;;;;;;;;;;;
SIB;PADANG SIDEMPUAN;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Site OA Non Billing : 0;;;;;;;;;;;
SIP;PADANG SIDEMPUAN;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRT;PADANG SIDEMPUAN;SUMBAGUT;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non Berbilling : 0;;;;;;;;;;;
TUK;PADANG SIDEMPUAN;SUMBAGUT;AREA 1;INC47697642;00.40.42;[TIF] PUTRA GARSEL_METRO_KP. JABAL RT.02 RW.08_KAB GARUT_DOWN [2077867907] [C_CONN][DWS];31/03/26 18.40;TIF ASR NON FBB DISTRICT TASIKMALAYA;91150389;DWS;METRO-E;TASIKMALAYA;CBT;BACKEND;31/03/26 18.42;;MYCAREER;6281324;NOC;;;Assigned By STO;;CUSTOMER;;REFID-1774957248795;27;;;;3000004581;TELKOM INFRASTRUKTUR INDONESIA;2077867907;2077867907;;;;3;;;31/03/26 19.21;;REG-3;null | TECHNICAL | Mati Total Fisik;;Perbaikan FO Akses Cut;;;;16890879;ODP-CBT-FAE/012;sent mail : Team otw;2026-03-31 19:01:14.455;TECHNICAL;;NO;N/A | N/A;;00.00.00;00.00.00;00.01.59;00.00.00;00.00.00;00.00.00;00.40.42;;;;;;;;;;;;;;C_CONN_001_001_001;;;1;Super Emergency - C4
